name_scheme,net_asset_value,outstanding_no_of_units,nav_per_unit,sale_price_per_unit,repurchase_price_per_unit,date_valued
Liquid Fund,"710,493,376.9700","5,206,122.1100",136.4727,136.4727,136.4727,04-01-2016
Umoja Fund,"221,313,310,850.8800","466,697,120.0300",474.2119,474.2119,469.4697,31-12-2015
Wekeza Maisha Fund,"3,455,376,132.0000","11,379,598.4000",303.6466,303.6466,297.5736,31-12-2015
Watoto Fund,"2,805,189,917.6000","9,915,250.3800",282.9167,282.9167,280.0875,31-12-2015
Jikimu Fund,"26,295,998,238.5100","209,611,873.9600",125.4509,125.4509,122.9419,31-12-2015
Liquid Fund,"709,478,798.5800","5,206,122.1100",136.2778,136.2778,136.2778,31-12-2015
Umoja Fund,"221,211,075,353.2200","466,602,129.2100",474.0893,474.0893,469.3484,30-12-2015
Wekeza Maisha Fund,"3,453,501,742.1500","11,377,831.0400",303.529,303.529,297.4584,30-12-2015
Watoto Fund,"2,801,979,039.2200","9,907,133.3300",282.8244,282.8244,279.9962,30-12-2015
Jikimu Fund,"26,232,790,413.5800","209,167,385.5900",125.4153,125.4153,122.907,30-12-2015
Liquid Fund,"709,225,169.3700","5,206,122.1100",136.2291,136.2291,136.2291,30-12-2015
Umoja Fund,"221,938,273,743.0000","466,362,833.3300",475.8919,475.8919,471.1329,29-12-2015
Wekeza Maisha Fund,"3,461,561,147.6900","11,374,914.2200",304.3154,304.3154,298.2291,29-12-2015
Watoto Fund,"2,809,274,262.5900","9,904,994.1900",283.622,283.622,280.7858,29-12-2015
Jikimu Fund,"26,155,280,848.5800","208,261,252.9800",125.5888,125.5888,123.077,29-12-2015
Liquid Fund,"714,080,012.5200","5,243,745.2700",136.1775,136.1775,136.1775,29-12-2015
Umoja Fund,"221,940,882,898.0900","466,528,288.6000",475.7287,475.7287,470.9714,28-12-2015
Wekeza Maisha Fund,"3,459,479,709.0500","11,370,382.6700",304.2536,304.2536,298.1685,28-12-2015
Watoto Fund,"2,812,158,786.0900","9,903,777.4400",283.9481,283.9481,281.1086,28-12-2015
Jikimu Fund,"26,124,968,224.3900","208,090,307.9100",125.5463,125.5463,123.0354,28-12-2015
Liquid Fund,"713,826,524.4700","5,243,745.2700",136.1291,136.1291,136.1291,28-12-2015
Umoja Fund,"221,649,860,775.4800","466,510,484.1800",475.123,475.123,470.3718,23-12-2015
Wekeza Maisha Fund,"3,452,573,104.0700","11,361,704.2600",303.8781,303.8781,297.8005,23-12-2015
Watoto Fund,"2,803,923,601.1100","9,900,405.7100",283.213,283.213,280.3809,23-12-2015
Jikimu Fund,"26,087,159,319.6000","208,057,788.1400",125.3842,125.3842,122.8765,23-12-2015
Liquid Fund,"712,561,007.9900","5,243,745.2700",135.8878,135.8878,135.8878,23-12-2015
Umoja Fund,"221,514,389,141.2800","466,315,622.1400",475.031,475.031,470.2807,22-12-2015
Wekeza Maisha Fund,"3,448,754,122.6900","11,351,316.1900",303.8198,303.8198,297.7434,22-12-2015
Watoto Fund,"2,803,463,232.2500","9,900,405.7100",283.1665,283.1665,280.3348,22-12-2015
Jikimu Fund,"26,046,658,918.2300","207,783,830.1800",125.3546,125.3546,122.8475,22-12-2015
Liquid Fund,"712,306,485.3500","5,243,745.2700",135.8393,135.8393,135.8393,22-12-2015
Umoja Fund,"221,502,780,630.2500","466,233,147.8600",475.0902,475.0902,470.3393,21-12-2015
Wekeza Maisha Fund,"3,448,597,872.4500","11,350,377.0200",303.8311,303.8311,297.7545,21-12-2015
Watoto Fund,"2,802,600,550.3200","9,896,113.7900",283.2021,283.2021,280.3701,21-12-2015
Jikimu Fund,"25,738,028,170.3900","205,336,288.0400",125.3457,125.3457,122.8388,21-12-2015
Liquid Fund,"712,051,754.2200","5,243,745.2700",135.7907,135.7907,135.7907,21-12-2015
Umoja Fund,"221,558,849,755.0900","466,613,113.6300",474.8235,474.8235,470.0752,18-12-2015
Wekeza Maisha Fund,"3,446,516,332.7900","11,350,153.8500",303.6537,303.6537,297.5806,18-12-2015
Watoto Fund,"2,802,042,115.9700","9,899,760.0800",283.0414,283.0414,280.211,18-12-2015
Jikimu Fund,"25,688,596,595.4800","205,063,738.3700",125.2713,125.2713,122.7659,18-12-2015
Liquid Fund,"711,289,685.7900","5,243,745.2700",135.6454,135.6454,135.6454,18-12-2015
Umoja Fund,"221,494,640,285.4200","466,540,588.0400",474.7596,474.7596,470.012,17-12-2015
Wekeza Maisha Fund,"3,433,185,992.5800","11,354,206.5400",302.3713,302.3713,296.3239,17-12-2015
Watoto Fund,"2,802,847,298.1100","9,903,399.7700",283.0187,283.0187,280.1885,17-12-2015
Jikimu Fund,"25,673,439,903.0200","204,987,543.6800",125.2439,125.2439,122.739,17-12-2015
Liquid Fund,"711,037,111.1600","5,243,745.2700",135.5972,135.5972,135.5972,17-12-2015
Umoja Fund,"221,401,638,560.6900","466,426,368.2600",474.6765,474.6765,469.9297,16-12-2015
Wekeza Maisha Fund,"3,432,283,081.9900","11,354,206.5400",302.2918,302.2918,296.2459,16-12-2015
Watoto Fund,"2,800,746,403.9600","9,898,305.7700",282.9521,282.9521,280.1226,16-12-2015
Jikimu Fund,"25,714,350,912.8000","205,357,977.2800",125.2172,125.2172,122.7129,16-12-2015
Liquid Fund,"700,783,904.5300","5,169,997.4200",135.5482,135.5482,135.5482,16-12-2015
Umoja Fund,"221,475,512,714.6700","466,675,894.5300",474.581,474.581,469.8352,15-12-2015
Wekeza Maisha Fund,"3,431,095,612.8700","11,353,241.2500",302.2129,302.2129,296.1686,15-12-2015
Watoto Fund,"2,799,356,351.9700","9,895,725.8000",282.8854,282.8854,280.0565,15-12-2015
Jikimu Fund,"25,681,827,132.0500","205,150,338.0800",125.1854,125.1854,122.6817,15-12-2015
Liquid Fund,"700,530,682.2800","5,169,997.4200",135.4992,135.4992,135.4992,15-12-2015
Umoja Fund,"221,548,397,287.5300","466,664,286.9700",474.749,474.749,470.0015,14-12-2015
Wekeza Maisha Fund,"3,430,362,119.0100","11,349,594.5900",302.2453,302.2453,296.2004,14-12-2015
Watoto Fund,"2,798,681,962.3600","9,893,551.6800",282.8794,282.8794,280.0506,14-12-2015
Jikimu Fund,"25,666,890,862.1200","204,861,814.1600",125.2888,125.2888,122.783,14-12-2015
Liquid Fund,"705,533,321.7200","5,208,885.1400",135.448,135.448,135.448,14-12-2015
Umoja Fund,"221,404,328,840.0700","466,629,756.6700",474.4754,474.4754,469.7306,11-12-2015
Wekeza Maisha Fund,"3,429,143,958.8900","11,349,429.1600",302.1424,302.1424,296.0996,11-12-2015
Watoto Fund,"2,796,478,996.5100","9,885,774.5100",282.8791,282.8791,280.0503,11-12-2015
Jikimu Fund,"25,623,597,044.7900","204,691,400.6900",125.1816,125.1816,122.678,11-12-2015
Liquid Fund,"704,770,987.2000","5,208,885.1400",135.3017,135.3017,135.3017,11-12-2015
Umoja Fund,"221,377,757,964.8900","466,596,595.0400",474.4522,474.4522,469.7076,10-12-2015
Wekeza Maisha Fund,"3,428,240,784.6200","11,348,360.0400",302.0913,302.0913,296.0495,10-12-2015
Watoto Fund,"2,794,226,002.9700","9,879,433.9900",282.8326,282.8326,280.0043,10-12-2015
Jikimu Fund,"25,628,422,932.7000","204,671,909.2900",125.2171,125.2171,122.7128,10-12-2015
Liquid Fund,"704,516,653.2100","5,208,885.1400",135.2529,135.2529,135.2529,10-12-2015
Umoja Fund,"221,215,909,686.5500","466,149,791.0200",474.5597,474.5597,469.8141,08-12-2015
Wekeza Maisha Fund,"3,423,642,959.8700","11,333,420.8500",302.0838,302.0838,296.0421,08-12-2015
Watoto Fund,"2,788,396,447.2600","9,856,825.7400",282.8899,282.8899,280.061,08-12-2015
Jikimu Fund,"25,508,248,959.5300","203,761,490.5000",125.1868,125.1868,122.6831,08-12-2015
Liquid Fund,"704,007,938.1900","5,208,885.1400",135.1552,135.1552,135.1552,08-12-2015
Umoja Fund,"219,794,478,176.5700","466,110,721.9900",471.5499,471.5499,466.8344,07-12-2015
Umoja Fund,"221,548,397,287.5300","466,664,286.9700",474.749,474.749,470.0015,07-12-2015
Wekeza Maisha Fund,"3,409,354,636.8100","11,332,893.1000",300.8371,300.8371,294.8204,07-12-2015
Watoto Fund,"2,774,998,384.9900","9,855,583.4900",281.5661,281.5661,278.7505,07-12-2015
Jikimu Fund,"25,315,706,105.4600","202,714,539.7200",124.8835,124.8835,122.3859,07-12-2015
Liquid Fund,"702,987,794.7000","5,208,885.1400",134.9594,134.9594,134.9594,07-12-2015
Umoja Fund,"219,794,478,176.5700","466,110,721.9900",471.5499,471.5499,466.8344,04-12-2015
Wekeza Maisha Fund,"3,409,354,636.8100","11,332,893.1000",300.8371,300.8371,294.8204,04-12-2015
Watoto Fund,"2,774,998,384.9900","9,855,583.4900",281.5661,281.5661,278.7505,04-12-2015
Jikimu Fund,"25,315,706,105.4600","202,714,539.7200",124.8835,124.8835,122.3859,04-12-2015
Liquid Fund,"702,987,794.7000","5,208,885.1400",134.9594,134.9594,134.9594,04-12-2015
Umoja Fund,"219,739,816,582.3800","465,044,335.6000",472.5137,472.5137,467.7886,03-12-2015
Wekeza Maisha Fund,"3,425,117,691.4300","11,331,037.0800",302.2775,302.2775,296.232,03-12-2015
Watoto Fund,"2,789,204,431.1600","9,855,477.2600",283.0106,283.0106,280.1805,03-12-2015
Jikimu Fund,"25,366,595,174.1900","202,795,780.7600",125.0844,125.0844,122.5827,03-12-2015
Liquid Fund,"702,752,352.2300","5,208,885.1400",134.9142,134.9142,134.9142,03-12-2015
Umoja Fund,"219,544,774,749.3200","465,459,999.5900",471.6727,471.6727,466.956,02-12-2015
Wekeza Maisha Fund,"3,427,384,416.9800","11,344,612.3800",302.1156,302.1156,296.0733,02-12-2015
Watoto Fund,"2,787,484,698.5700","9,855,584.5000",282.833,282.833,280.0047,02-12-2015
Jikimu Fund,"25,298,041,074.0900","202,385,138.1300",124.9995,124.9995,122.4995,02-12-2015
Liquid Fund,"702,516,895.2500","5,208,885.1400",134.869,134.869,134.869,02-12-2015
Umoja Fund,"219,749,594,545.8800","465,281,064.2600",472.2943,472.2943,467.5714,01-12-2015
Wekeza Maisha Fund,"3,425,919,666.4100","11,340,592.6500",302.0935,302.0935,296.0517,01-12-2015
Watoto Fund,"2,785,931,871.2400","9,850,938.2400",282.8088,282.8088,279.9807,01-12-2015
Jikimu Fund,"25,291,323,846.7300","202,374,789.4300",124.9727,124.9727,122.4732,01-12-2015
Liquid Fund,"702,281,423.7500","5,208,885.1400",134.8237,134.8237,134.8237,01-12-2015
Umoja Fund,"220,117,997,687.7400","466,255,771.7200",472.0971,472.0971,467.3761,30-11-2015
Wekeza Maisha Fund,"3,426,112,551.3200","11,331,840.4100",302.3439,302.3439,296.297,30-11-2015
Watoto Fund,"2,782,301,764.6800","9,838,749.9900",282.7902,282.7902,279.9623,30-11-2015
Jikimu Fund,"24,954,599,045.4000","199,835,348.7700",124.8758,124.8758,122.3783,30-11-2015
Liquid Fund,"702,045,801.4100","5,208,885.1400",134.7785,134.7785,134.7785,30-11-2015
Umoja Fund,"219,650,993,950.8500","466,227,957.9100",471.1236,471.1236,466.4124,27-11-2015
Wekeza Maisha Fund,"3,422,448,715.8900","11,333,482.7800",301.9768,301.9768,295.9373,27-11-2015
Watoto Fund,"2,778,936,939.4400","9,837,004.0300",282.4983,282.4983,279.6733,27-11-2015
Jikimu Fund,"24,927,703,738.7700","199,779,154.6900",124.7763,124.7763,122.2808,27-11-2015
Liquid Fund,"701,338,977.2400","5,208,885.1400",134.6428,134.6428,134.6428,27-11-2015
Umoja Fund,"219,593,450,721.6600","466,104,234.5500",471.1252,471.1252,466.4139,26-11-2015
Wekeza Maisha Fund,"3,424,541,657.7300","11,332,688.0200",302.1826,302.1826,296.139,26-11-2015
Watoto Fund,"2,778,541,348.3300","9,828,805.3600",282.6937,282.6937,279.8668,26-11-2015
Jikimu Fund,"24,898,009,593.8600","199,637,493.4300",124.7161,124.7161,122.2218,26-11-2015
Liquid Fund,"701,103,340.1400","5,208,885.1400",134.5976,134.5976,134.5976,26-11-2015
Umoja Fund,"219,715,190,328.7600","466,089,044.8500",471.4017,471.4017,466.6877,25-11-2015
Wekeza Maisha Fund,"3,425,483,953.4800","11,320,197.8200",302.5993,302.5993,296.5473,25-11-2015
Watoto Fund,"2,777,485,746.8000","9,823,000.1100",282.7533,282.7533,279.9258,25-11-2015
Jikimu Fund,"24,890,038,542.5100","199,493,121.0800",124.7664,124.7664,122.2711,25-11-2015
Liquid Fund,"700,867,688.5000","5,208,885.1400",134.5523,134.5523,134.5523,25-11-2015
Umoja Fund,"219,512,513,673.5400","466,022,354.7900",471.0343,471.0343,466.324,24-11-2015
Wekeza Maisha Fund,"3,422,490,011.6600","11,322,417.0900",302.2756,302.2756,296.2301,24-11-2015
Watoto Fund,"2,775,419,983.3500","9,824,408.5400",282.5025,282.5025,279.6775,24-11-2015
Jikimu Fund,"24,841,963,136.2000","199,200,240.0500",124.7085,124.7085,122.2143,24-11-2015
Liquid Fund,"700,676,045.6600","5,208,885.1400",134.5155,134.5155,134.5155,24-11-2015
Umoja Fund,"219,680,900,763.8400","465,990,552.0300",471.4278,471.4278,466.7135,23-11-2015
Wekeza Maisha Fund,"3,426,141,049.3300","11,328,302.3300",302.4408,302.4408,296.392,23-11-2015
Watoto Fund,"2,777,523,637.8000","9,826,211.4600",282.6648,282.6648,279.8381,23-11-2015
Jikimu Fund,"24,821,418,082.8300","198,974,068.1800",124.747,124.747,122.2521,23-11-2015
Liquid Fund,"700,440,301.8600","5,208,885.1400",134.4703,134.4703,134.4703,23-11-2015
Umoja Fund,"219,295,098,795.1100","465,876,807.1700",470.7148,470.7148,466.0076,20-11-2015
Wekeza Maisha Fund,"3,422,447,675.4000","11,327,167.1000",302.1451,302.1451,296.1022,20-11-2015
Watoto Fund,"2,773,357,530.7100","9,821,789.2600",282.3679,282.3679,279.5442,20-11-2015
Jikimu Fund,"24,756,642,752.9300","198,669,175.4000",124.6124,124.6124,122.1202,20-11-2015
Liquid Fund,"699,732,983.2700","5,208,885.1400",134.3345,134.3345,134.3345,20-11-2015
Umoja Fund,"218,758,785,979.1900","465,799,710.2100",469.6413,469.6413,464.9449,19-11-2015
Wekeza Maisha Fund,"3,402,637,531.3900","11,333,315.6000",300.2332,300.2332,294.2285,19-11-2015
Watoto Fund,"2,754,228,567.6100","9,808,265.2800",280.8069,280.8069,277.9988,19-11-2015
Jikimu Fund,"24,984,187,850.7500","200,780,226.3100",124.4355,124.4355,121.9468,19-11-2015
Liquid Fund,"699,260,577.3500","5,208,885.1400",134.2438,134.2438,134.2438,19-11-2015
Umoja Fund,"218,679,235,324.9600","465,615,150.8800",469.6566,469.6566,464.96,17-11-2015
Wekeza Maisha Fund,"3,404,789,318.5600","11,333,315.6000",300.4231,300.4231,294.4146,17-11-2015
Watoto Fund,"2,753,592,805.1700","9,800,786.8300",280.9563,280.9563,278.1467,17-11-2015
Jikimu Fund,"24,895,187,485.5900","200,073,032.6200",124.4305,124.4305,121.9419,17-11-2015
Liquid Fund,"698,788,113.1900","5,208,885.1400",134.1985,134.1985,134.1985,17-11-2015
Umoja Fund,"218,619,482,723.7000","465,569,785.6200",469.574,469.574,464.8783,16-11-2015
Wekeza Maisha Fund,"3,402,202,387.8000","11,331,734.4700",300.2367,300.2367,294.232,16-11-2015
Watoto Fund,"2,752,301,270.2500","9,801,311.7500",280.8095,280.8095,278.0014,16-11-2015
Jikimu Fund,"24,883,815,544.5100","200,024,822.2500",124.4036,124.4036,121.9156,16-11-2015
Liquid Fund,"698,788,113.1900","5,208,885.1400",134.1531,134.1531,134.1531,16-11-2015
Umoja Fund,"219,345,187,799.9700","465,555,870.6100",471.1469,471.1469,466.4354,13-11-2015
Wekeza Maisha Fund,"3,422,479,949.1000","11,331,035.0200",302.0448,302.0448,296.0039,13-11-2015
Watoto Fund,"2,770,522,340.4800","9,801,098.0800",282.6747,282.6747,279.8479,13-11-2015
Jikimu Fund,"24,928,382,041.3500","199,934,792.7300",124.6826,124.6826,122.1889,13-11-2015
Liquid Fund,"698,096,969.0800","5,208,885.1400",134.0204,134.0204,134.0204,13-11-2015
Umoja Fund,"219,008,163,207.4200","465,521,308.5400",470.4579,470.4579,465.7533,12-11-2015
Wekeza Maisha Fund,"3,424,706,503.6600","11,342,115.4500",301.946,301.946,295.9071,12-11-2015
Watoto Fund,"2,764,716,282.3200","9,786,345.5300",282.5075,282.5075,279.6825,12-11-2015
Jikimu Fund,"24,893,318,989.1600","199,798,446.4700",124.5922,124.5922,124.5922,12-11-2015
Liquid Fund,"697,861,082.9500","5,208,885.1400",133.9751,133.9751,133.9751,12-11-2015
Umoja Fund,"218,701,281,175.3400","465,454,204.3800",469.8664,469.8664,465.1677,11-11-2015
Wekeza Maisha Fund,"3,421,142,400.1000","11,340,641.6100",301.671,301.671,295.6376,11-11-2015
Watoto Fund,"2,762,679,929.7700","9,786,078.3800",282.3072,282.3072,279.4841,11-11-2015
Jikimu Fund,"24,829,914,632.0200","199,407,784.7400",124.5183,124.5183,122.0279,11-11-2015
Liquid Fund,"697,625,182.2900","5,208,885.1400",133.9298,133.9298,133.9298,11-11-2015
Umoja Fund,"218,292,089,605.0900","465,441,526.1900",469.0,469.0,464.31,10-11-2015
Wekeza Maisha Fund,"3,405,908,761.1400","11,338,735.5600",300.3782,300.3782,294.3706,10-11-2015
Watoto Fund,"2,748,584,188.6800","9,779,374.5100",281.0593,281.0593,278.2487,10-11-2015
Jikimu Fund,"24,682,152,717.5000","198,575,597.0100",124.296,124.296,121.8101,10-11-2015
Liquid Fund,"697,389,267.0800","5,208,885.1400",133.8846,133.8846,133.8846,10-11-2015
Umoja Fund,"219,342,014,407.4700","467,601,666.8600",469.0788,469.0788,464.388,09-11-2015
Wekeza Maisha Fund,"3,405,469,458.0600","11,355,004.6900",299.9091,299.9091,293.9109,09-11-2015
Watoto Fund,"2,743,432,425.1000","9,776,456.9800",280.6162,280.6162,277.8101,09-11-2015
Jikimu Fund,"24,579,267,005.7900","197,798,621.0200",124.2641,124.2641,121.7788,09-11-2015
Liquid Fund,"697,153,337.3300","5,208,885.1400",133.8393,133.8393,133.8393,09-11-2015
Umoja Fund,"219,393,048,921.2800","467,542,444.7000",469.2473,469.2473,464.5549,06-11-2015
Wekeza Maisha Fund,"3,405,256,845.4700","11,354,863.4200",299.8941,299.8941,293.8962,06-11-2015
Watoto Fund,"2,743,214,362.3500","9,773,108.3300",280.6901,280.6901,277.8832,06-11-2015
Jikimu Fund,"24,560,692,721.4300","197,761,230.5300",124.1937,124.1937,121.7098,06-11-2015
Liquid Fund,"696,445,460.8100","5,208,885.1400",133.7034,133.7034,133.7034,06-11-2015
Umoja Fund,"219,048,989,648.7900","467,461,406.6700",468.5927,468.5927,463.9067,04-11-2015
Wekeza Maisha Fund,"3,397,475,985.0400","11,354,168.5100",299.2272,299.2272,293.2427,04-11-2015
Watoto Fund,"2,739,764,080.2200","9,772,805.1800",280.3457,280.3457,277.5423,04-11-2015
Jikimu Fund,"24,512,287,276.9100","97,554,850.3900",124.0784,124.0784,121.5968,04-11-2015
Liquid Fund,"695,973,470.4000","5,208,885.1400",133.6128,133.6128,133.6128,04-11-2015
Umoja Fund,"219,227,143,268.3600","467,418,436.7000",469.0169,469.0169,464.3267,03-11-2015
Wekeza Maisha Fund,"3,403,088,615.4000","11,356,118.7800",299.67,299.67,293.6766,03-11-2015
Watoto Fund,"2,751,965,641.5800","9,797,595.2200",280.8817,280.8817,278.0729,03-11-2015
Jikimu Fund,"24,473,066,950.8000","197,240,009.0800",124.0776,124.0776,121.596,03-11-2015
Liquid Fund,"695,737,453.3800","5,208,885.1400",133.5674,133.5674,133.5674,03-11-2015
Umoja Fund,"218,937,657,441.9000","467,347,143.2400",468.469,468.469,463.7843,02-11-2015
Wekeza Maisha Fund,"3,397,652,634.1600","11,355,701.6500",299.2024,299.2024,293.2183,02-11-2015
Watoto Fund,"2,733,230,837.8400","9,746,887.0500",280.4209,280.4209,277.6167,02-11-2015
Jikimu Fund,"24,510,758,341.2000","197,658,001.2800",124.0059,124.0059,121.5258,02-11-2015
Liquid Fund,"695,501,421.8100","5,208,885.1400",133.5221,133.5221,133.5221,02-11-2015
Umoja Fund,"218,685,656,751.0100","467,052,001.1200",468.2255,468.2255,463.5432,30-10-2015
Wekeza Maisha Fund,"3,394,348,506.3300","11,355,349.9900",298.9206,298.9206,292.9422,30-10-2015
Watoto Fund,"2,730,589,624.4300","9,743,249.8800",280.2545,280.2545,277.452,30-10-2015
Jikimu Fund,"24,480,417,942.4400","197,591,474.8400",123.8941,123.8941,121.4162,30-10-2015
Liquid Fund,"694,793,353.1200","5,208,885.1400",133.3862,133.3862,133.3862,30-10-2015
Umoja Fund,"218,484,382,962.2700","466,977,486.3600",467.8692,467.8692,463.1905,29-10-2015
Wekeza Maisha Fund,"3,391,055,781.3500","11,349,610.0800",298.7817,298.7817,292.8061,29-10-2015
Watoto Fund,"2,728,322,101.3500","9,743,071.4700",280.0269,280.0269,277.2266,29-10-2015
Jikimu Fund,"24,447,461,063.0300","197,488,693.2100",123.7917,123.7917,121.3159,29-10-2015
Liquid Fund,"694,557,376.1600","5,208,885.1400",133.3409,133.3409,133.3409,29-10-2015
Umoja Fund,"2,727,654,767.0000","9,742,236.5400",279.9824,279.9824,277.1826,28-10-2015
Umoja Fund,"218,275,840,196.8300","466,630,196.2100",467.7705,467.7705,463.0928,28-10-2015
Wekeza Maisha Fund,"3,390,126,216.2100","11,348,435.3200",298.7307,298.7307,292.7561,28-10-2015
Jikimu Fund,"24,429,471,234.2300","197,396,788.5300",123.7582,123.7582,121.283,28-10-2015
Liquid Fund,"694,321,384.6400","5,208,885.1400",133.2956,133.2956,133.2956,28-10-2015
Umoja Fund,"218,166,092,360.2000","466,414,185.4100",467.7518,467.7518,463.0743,27-10-2015
Wekeza Maisha Fund,"3,391,676,003.8700","11,352,684.0100",298.7554,298.7554,292.7803,27-10-2015
Watoto Fund,"2,727,874,941.5500","9,742,236.5400",280.005,280.005,277.205,27-10-2015
Jikimu Fund,"24,424,846,211.3600","197,356,387.1700",123.7601,123.7601,121.2849,27-10-2015
Liquid Fund,"694,085,378.5800","5,208,885.1400",133.2503,133.2503,133.2503,27-10-2015
Umoja Fund,"218,973,371,323.2200","466,389,464.0000",469.5075,469.5075,464.8125,26-10-2015
Wekeza Maisha Fund,"3,398,974,360.1900","11,352,349.2900",299.4071,299.4071,293.419,26-10-2015
Watoto Fund,"2,732,688,350.0600","9,732,534.3800",280.7787,280.7787,277.9709,26-10-2015
Jikimu Fund,"24,300,687,135.9400","196,101,540.0900",123.9189,123.9189,121.4405,26-10-2015
Liquid Fund,"693,849,357.9700","5,208,885.1400",133.205,133.205,133.205,26-10-2015
Umoja Fund,"218,744,507,132.2300","466,352,346.1500",469.0542,469.0542,464.3636,23-10-2015
Wekeza Maisha Fund,"3,395,564,191.7900","11,351,085.3500",299.14,299.14,293.1572,23-10-2015
